Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Num_Days,Train_Category
31812,KNJ - SDAJ L,KRISHNA NAGAR CITY JN.,SEALDAH,Monday,1,Weekday
31813,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Tuesday,1,Weekday
31814,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Saturday,1,Weekend
31815,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Wednesday,1,Weekday
31816,KNJ - SDAH L,KRISHNA NAGAR CITY JN.,SEALDAH,Thursday,1,Weekday
31817,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Friday,1,Weekday
31818,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Sunday,1,Weekend
31819,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Friday,1,Weekday
31820,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Sunday,1,Weekend
31821,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Tuesday,1,Weekday
31822,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Monday,1,Weekday
31823,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Saturday,1,Weekend
31824,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Saturday,1,Weekend
31825,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Saturday,1,Weekend
31826,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Thursday,1,Weekday
31827,SDAH - KNJ L,SEALDAH,KRISHNA NAGAR CITY JN.,Monday,1,Weekday
31828,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Saturday,1,Weekend
31829,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Tuesday,1,Weekday
31830,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Wednesday,1,Weekday
31831,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Saturday,1,Weekend
31832,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Sunday,1,Weekend
31833,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Saturday,1,Weekend
31834,KNJ - SDAH,KRISHNA NAGAR CITY JN.,SEALDAH,Friday,1,Weekday
31835,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Wednesday,1,Weekday
31836,KNJ - SDAH L,KRISHNA NAGAR CITY JN.,SEALDAH,Sunday,1,Weekend
31837,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Wednesday,1,Weekday
31838,KNJ-SDAH LOC,KRISHNA NAGAR CITY JN.,SEALDAH,Monday,1,Weekday
31839,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Sunday,1,Weekend
31840,KNJ-SDAH LOC,KRISHNA NAGAR CITY JN.,SEALDAH,Tuesday,1,Weekday
31841,SDAH-KNJ LOC,SEALDAH,KRISHNA NAGAR CITY JN.,Sunday,1,Weekend
31842,KNJ-SDAH EMU,KRISHNA NAGAR CITY JN.,SEALDAH,Sunday,1,Weekend
31843,SDAH-LGL MEM,SEALDAH,KRISHNA NAGAR CITY JN.,Wednesday,1,Weekday
31844,KNJ-SDAH LOC,KRISHNA NAGAR CITY JN.,SEALDAH,Sunday,1,Weekend
31861,KNJ LGL EMU,KRISHNA NAGAR CITY JN.,LALGOLA,Monday,1,Weekday
31862,LGL KNJ EMU,LALGOLA,KRISHNA NAGAR CITY JN.,Tuesday,1,Weekday
31863,KNJ LGL EMU,KRISHNA NAGAR CITY JN.,LALGOLA,Monday,1,Weekday
