Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Num_Days,Train_Category
22635,MAQ INTERCIT,MADGOAN JN.,MANGALORE CENTRAL,Saturday,1,Weekend
22636,MAQ-MAO SF I,MANGALORE CENTRAL,MADGOAN JN.,Sunday,1,Weekend
22637,WEST COAST E,CHENNAI CENTRAL,MANGALORE CENTRAL,Monday,1,Weekday
22638,WEST COAST E,MANGALORE CENTRAL,CHENNAI CENTRAL,Friday,1,Weekday
22639,ALLEPPEY EXP,CHENNAI CENTRAL,ALLEPPEY,Friday,1,Weekday
22640,CHENNAI EXPR,ALLEPPEY,CHENNAI CENTRAL,Sunday,1,Weekend
22641,SHALIMAR EXP,TRIVANDRUM CENTRAL,SHALIMAR,Tuesday,1,Weekday
22642,SHM TVC SF E,SHALIMAR,TRIVANDRUM CENTRAL,Thursday,1,Weekday
22643,PATNA EXPRES,ERNAKULAM. JN,PATNA JN.,Saturday,1,Weekend
22644,PNBE ERS EXP,PATNA JN.,ERNAKULAM. JN,Friday,1,Weekday
22645,AHILYANAGARI,INDORE BG,TRIVANDRUM CENTRAL,Friday,1,Weekday
22646,AHILYANAGARI,TRIVANDRUM CENTRAL,INDORE BG,Monday,1,Weekday
22647,KRBA TVC EXP,KORBA,TRIVANDRUM CENTRAL,Saturday,1,Weekend
